case_id,battery_id,source_record_id,manufacturer,model_name,canonical_model,vehicle_year,mileage_km,capacity_kwh,chemistry,battery_count,current_year,inspection_date,origin_type,origin_name,origin_region,origin_latitude,origin_longitude,flooded,leakage,overheated,swelling,impact,data_source,capacity_source,chemistry_source,location_source,is_demo,expected_grade,expected_recommended_path,expected_required_diagnostic_capability,expected_collection_route,expected_data_confidence,expected_soh_proxy_score,expected_reuse_score,expected_recycle_score
CASE_000001,BAT_000001,SYN_LFP_0005,LFP Demo Manufacturer,LFP 시연용 EV,LFP Demo Vehicle,2019,25911,77.0,LFP,1,2026,2024-01-05,scrapyard,인천권역폐차장,인천,37.493609,126.744211,False,False,False,False,False,SYNTHETIC_LFP_DEMO_CASE_FROM_TS_TEMPLATE,synthetic_lfp_demo,synthetic_lfp_demo,synthetic_scrapyard_region_jitter,True,Green,reuse_candidate,kolas,LFP 전용 수거 루트,1.0,74.3,76.5,64.4
CASE_000002,BAT_000002,SYN_LFP_0006,LFP Demo Manufacturer,LFP 시연용 EV,LFP Demo Vehicle,2023,9220,55.0,LFP,1,2026,2024-03-21,scrapyard,광주전남폐차장,전남,35.164997,126.866018,False,False,False,False,False,SYNTHETIC_LFP_DEMO_CASE_FROM_TS_TEMPLATE,synthetic_lfp_demo,synthetic_lfp_demo,synthetic_scrapyard_region_jitter,True,Green,reuse_candidate,kolas,LFP 전용 수거 루트,1.0,89.3,85.5,54.6
CASE_000003,BAT_000003,SYN_LFP_0004,LFP Demo Manufacturer,LFP 시연용 EV,LFP Demo Vehicle,2022,13124,70.0,LFP,1,2026,2024-05-17,scrapyard,부산권역폐차장,부산,35.206648,128.97601,False,False,False,False,False,SYNTHETIC_LFP_DEMO_CASE_FROM_TS_TEMPLATE,synthetic_lfp_demo,synthetic_lfp_demo,synthetic_scrapyard_region_jitter,True,Green,reuse_candidate,kolas,LFP 전용 수거 루트,1.0,85.6,84.9,62.1
CASE_000004,BAT_000004,SYN_LFP_0002,LFP Demo Manufacturer,LFP 시연용 EV,LFP Demo Vehicle,2022,24710,60.0,LFP,2,2026,2024-09-23,scrapyard,대구경북폐차장,경북,36.083252,128.356807,False,False,False,False,False,SYNTHETIC_LFP_DEMO_CASE_FROM_TS_TEMPLATE,synthetic_lfp_demo,synthetic_lfp_demo,synthetic_scrapyard_region_jitter,True,Green,reuse_candidate,kolas,LFP 전용 수거 루트,1.0,83.6,83.4,62.5
CASE_000005,BAT_000005,TS_047383,현대자동차(주),포터Ⅱ 일렉트릭 (PORTERⅡ ELECTRIC),Porter II Electric,2023,10,58.8,NCM,1,2026,2024-05-20,scrapyard,대구경북폐차장,경북,36.060886,128.412885,False,False,False,False,False,TS_CELL_VOLTAGE_METADATA,model_specs_seed_unverified,model_specs_seed_unverified,synthetic_scrapyard_region_jitter,True,Green,reuse_candidate,kolas,NCM 전용 수거 루트,1.0,91.0,86.2,64.8
CASE_000006,BAT_000006,SYN_LFP_0003,LFP Demo Manufacturer,LFP 시연용 EV,LFP Demo Vehicle,2023,27495,64.0,LFP,1,2026,2024-02-14,scrapyard,대전권역폐차장,대전,36.333379,127.457194,False,False,False,False,False,SYNTHETIC_LFP_DEMO_CASE_FROM_TS_TEMPLATE,synthetic_lfp_demo,synthetic_lfp_demo,synthetic_scrapyard_region_jitter,True,Green,reuse_candidate,kolas,LFP 전용 수거 루트,1.0,86.1,85.3,62.0
CASE_000007,BAT_000007,TS_074379,현대자동차(주),아이오닉5 (IONIQ5),Ioniq 5,2022,72735,72.6,NCM,3,2026,2024-07-11,scrapyard,인천권역폐차장,인천,37.454418,126.707628,False,False,False,False,False,TS_CELL_VOLTAGE_METADATA,model_specs_seed_unverified,model_specs_seed_unverified,synthetic_scrapyard_region_jitter,True,Green,reuse_candidate,kolas,NCM 전용 수거 루트,1.0,74.9,76.4,74.8
CASE_000008,BAT_000008,TS_082521,현대자동차(주),포터Ⅱ 일렉트릭 (PORTERⅡ ELECTRIC),Porter II Electric,2021,26553,58.8,NCM,1,2026,2024-07-26,scrapyard,부산권역폐차장,부산,35.274078,128.986207,False,False,False,False,False,TS_CELL_VOLTAGE_METADATA,model_specs_seed_unverified,model_specs_seed_unverified,synthetic_scrapyard_region_jitter,True,Green,reuse_candidate,kolas,NCM 전용 수거 루트,1.0,80.2,78.2,67.0
CASE_000009,BAT_000009,SYN_LFP_0001,LFP Demo Manufacturer,LFP 시연용 EV,LFP Demo Vehicle,2022,31675,55.0,LFP,1,2026,2024-11-04,scrapyard,경기남부폐차장,경기,37.26816,127.066268,False,False,False,False,False,SYNTHETIC_LFP_DEMO_CASE_FROM_TS_TEMPLATE,synthetic_lfp_demo,synthetic_lfp_demo,synthetic_scrapyard_region_jitter,True,Green,reuse_candidate,kolas,LFP 전용 수거 루트,1.0,82.3,80.2,56.0
CASE_000010,BAT_000010,TS_117925,현대자동차(주),아이오닉5 (IONIQ5),Ioniq 5,2023,44790,72.6,NCM,1,2026,2024-10-04,scrapyard,인천권역폐차장,인천,37.490696,126.675602,False,False,False,False,False,TS_CELL_VOLTAGE_METADATA,model_specs_seed_unverified,model_specs_seed_unverified,synthetic_scrapyard_region_jitter,True,Green,reuse_candidate,kolas,NCM 전용 수거 루트,1.0,82.9,82.4,73.2
