company_id,company_name,address,region,latitude,longitude,is_active,accepted_chemistry,accepted_grade,diagnostic_capability,process_type,monthly_capacity_count,license_type,source_dataset,raw_business_type,raw_specialty,raw_product,company_status,jurisdiction,matched_keyword,location_source,admin_penalty_flag,is_synthetic_label,label_rule,business_no,tel_no,source_company_id,source_record_count,selection_score,reuse_role,reuse_verification_level,source_url,evidence_note,verification_status,verified_target_name,is_synthetic_company,kolas_verified,kolas_verification_status,kolas_verification_source,kolas_reference_year,kolas_reference_test_institution_count,kolas_reference_inspection_institution_count,kolas_scope_keyword,kolas_accreditation_no,kolas_assignment_type,diagnostic_capability_source,official_reuse_battery_inspection,official_inspection_verified,official_inspection_type,official_inspection_designation_no,official_inspection_source_note,kolas_status,kolas_scope_type,kolas_battery_scope_verified,battery_diagnostic_scope_verified,diagnostic_capability_detail,diagnostic_update_policy,diagnostic_update_note,kolas_valid_from,kolas_valid_to
CMV5_001,(주)민테크,대전광역시 유성구 테크노2로 263-1 (탑립동),대전,36.39039,127.404997,True,"NCM,LFP","Green,Yellow,Gray",none,reuse,26,재사용/진단 후보,산단공_전국등록공장현황+USER_REVIEW,진단/검사,진단/검사,"배터리 검사진단기, 사용후 배터리 진단",정상/확인필요,,USER_VERIFIED_REVIEW,synthetic_region_center_from_review,False,True,USER_VERIFIED_COMPANY_REVIEW_TO_MVP_LABEL,,,민테크,1,125.0,diagnosis_or_reuse_candidate,user_verified_reuse_or_diagnosis,https://www.g-mintech.co.kr/kor/main/,검증 파일 기준 포함: 민테크. 근거: 공업용 밸브(산업용 컨트롤밸브) / 금속제품 / 기계부품. 매칭근거: A: 사용자 검증 반영 | KOLAS 통계자료로 개별 KOLAS 인증 확인 불가. basic으로 조정.,user_verified,민테크,False,False,unconfirmed,산업통상부_기술표준통계_한국인정기구(KOLAS) 인정현황_20251231.csv,2025,862,76,,,not_assigned_latest_review_unconfirmed,latest_user_review_unconfirmed,False,False,,,,unconfirmed,,False,False,official_inspection_or_kolas_unconfirmed,latest_user_kolas_review_2026_07,Latest user review did not confirm KOLAS or official reuse battery inspection. Not used as high-grade diagnosis candidate.,,
CMV5_002,(주)시스피아,"대전광역시 유성구 테크노2로 337, (주)시스피아 (탑립동)",대전,36.328546,127.437526,True,"NCM,LFP","Green,Yellow,Gray",kolas,reuse,46,재사용/진단 후보,산단공_전국등록공장현황+USER_REVIEW,진단/검사,진단/검사,"폐배터리 시험검사, 팩 안전성검사",정상/확인필요,,USER_VERIFIED_REVIEW,synthetic_region_center_from_review,False,True,USER_VERIFIED_COMPANY_REVIEW_TO_MVP_LABEL,,,시스피아,1,125.0,diagnosis_or_reuse_candidate,user_verified_reuse_or_diagnosis,https://www.sispia.co.kr/,검증 파일 기준 포함: 시스피아. 근거: 산업용튀김기 / 폐배터리 시험검사. 매칭근거: A: 사용자 검증 반영 | KOLAS 통계자료로 개별 KOLAS 인증 확인 불가. basic으로 조정.,user_verified,시스피아,False,True,kolas_calibration_confirmed_scope_check_needed,산업통상부_기술표준통계_한국인정기구(KOLAS) 인정현황_20251231.csv,2025,862,76,공인교정기관; 배터리 성능시험 인정범위 추가 확인 필요,KC15-303,official_inspection_confirmed_kolas_calibration_not_battery_scope,official_reuse_battery_inspection_agency; kolas_calibration_confirmed,True,True,전기용품 안전성검사기관,제2024-1호,사용자 확인: 국가기술표준원 전기용품 안전성검사기관 신규 지정 및 KOLAS 공인교정기관 KC15-303.,kolas_calibration_confirmed_scope_check_needed,calibration_confirmed_battery_performance_scope_unverified,False,True,official_inspection,latest_user_kolas_review_2026_07,Official safety inspection agency confirmed; KOLAS calibration confirmed but battery SOH/performance scope is not confirmed. Mapped to kolas level only for matching.py compatibility.,2023-06-12,2027-06-11
CMV5_003,(주)포엔,경기도 화성시 마도면 청원산단2길 88,경기,37.390059,127.534518,True,"NCM,LFP","Green,Yellow,Gray",none,reuse,47,재사용/진단 후보,산단공_전국등록공장현황+USER_REVIEW,재사용/재제조,재사용/재제조,"전기차 배터리팩 재제조, 재사용 배터리",정상/확인필요,,USER_VERIFIED_REVIEW,synthetic_region_center_from_review,False,True,USER_VERIFIED_COMPANY_REVIEW_TO_MVP_LABEL,,,포엔,1,125.0,diagnosis_or_reuse_candidate,user_verified_reuse_or_diagnosis,https://poen.co.kr/,"검증 파일 기준 포함: 포엔. 근거: 배터리팩, 전자부품 / 자동차 부품, 재사용 배터리 / 전기차 배터리팩 재제조. 매칭근거: A: 사용자 검증 반영 | KOLAS 통계자료로 개별 KOLAS 인증 확인 불가. basic으로 조정.",user_verified,포엔,False,False,unconfirmed,산업통상부_기술표준통계_한국인정기구(KOLAS) 인정현황_20251231.csv,2025,862,76,,,not_assigned_latest_review_unconfirmed,latest_user_review_unconfirmed,False,False,,,,unconfirmed,,False,False,official_inspection_or_kolas_unconfirmed,latest_user_kolas_review_2026_07,Latest user review did not confirm KOLAS or official reuse battery inspection. Not used as high-grade diagnosis candidate.,,
CMV5_004,(주)피엠그로우,경상북도 포항시 남구 동해면 공당리 6001-12번지,경북,36.46467,128.93784,True,"NCM,LFP","Green,Yellow,Gray",kolas,reuse,31,재사용/진단 후보,산단공_전국등록공장현황+USER_REVIEW,재사용/진단,재사용/진단,"이차전지 배터리팩(EV), 전기차 배터리 검사 및 해체장비, 전기차 사용 후 배터리 재제조 물품",정상/확인필요,,USER_VERIFIED_REVIEW,synthetic_region_center_from_review,False,True,USER_VERIFIED_COMPANY_REVIEW_TO_MVP_LABEL,,,피엠그로우,1,125.0,diagnosis_or_reuse_candidate,user_verified_reuse_or_diagnosis,https://pmgrow.co.kr/,"검증 파일 기준 포함: 피엠그로우. 근거: 이차전기소재및제품 / 이차전지 배터리팩(EV), 전기차 배터리 검사 및 해체장비, 전기차 사용 후 배터리 재제조 물품. 매칭근거: A: 사용자 검증 반영 | KOLAS 통계자료로 개별 KOLAS 인증 확인 불가. basic으로 조정.",user_verified,피엠그로우,False,False,kolas_unconfirmed_official_inspection_confirmed,산업통상부_기술표준통계_한국인정기구(KOLAS) 인정현황_20251231.csv,2025,862,76,,,not_kolas_official_inspection_confirmed,official_reuse_battery_inspection_agency,True,True,전기용품 안전성검사기관,제2023-4호,사용자 확인: 국가기술표준원 전기용품 안전성검사기관 신규 지정 공고(피엠그로우). KOLAS 여부는 미확인.,kolas_unconfirmed_official_inspection_confirmed,not_confirmed,False,True,official_inspection,latest_user_kolas_review_2026_07,Official safety inspection agency confirmed; KOLAS not confirmed. Mapped to kolas level only for matching.py compatibility.,,
CMV5_005,제주테크노파크,제주특별자치도 제주시 중앙로 217,제주,33.52207,126.543943,True,"NCM,LFP","Green,Yellow,Gray",none,reuse,22,재사용/진단 후보,SAFETY_INSPECTION_AGENCY+USER_REVIEW,시험/인증기관,시험/인증기관,"사용후전지 안전성검사, 모듈 안전성검사",정상/확인필요,,USER_VERIFIED_REVIEW,synthetic_region_center_from_review,False,True,USER_VERIFIED_COMPANY_REVIEW_TO_MVP_LABEL,,,제주테크노파크,1,35.0,diagnosis_or_reuse_candidate,user_verified_reuse_or_diagnosis,https://www.jejutp.or.kr/,"검증 파일 기준 포함: 제주테크노파크. 근거: 식품 / 음료, 식품, 화장품 / 화장품, 치약, 비누. 매칭근거: A: 사용자 검증 반영 | KOLAS 통계자료로 개별 KOLAS 인증 확인 불가. basic으로 조정.",user_verified,제주테크노파크,False,False,unconfirmed,산업통상부_기술표준통계_한국인정기구(KOLAS) 인정현황_20251231.csv,2025,862,76,,,not_assigned_latest_review_unconfirmed,latest_user_review_unconfirmed,False,False,,,,unconfirmed,,False,False,official_inspection_or_kolas_unconfirmed,latest_user_kolas_review_2026_07,Latest user review did not confirm KOLAS or official reuse battery inspection. Not used as high-grade diagnosis candidate.,,
CMV5_006,LFP재사용실증센터_충남,충청남도 천안시 배터리 실증로 25,충남,36.631506,126.612386,True,"NCM,LFP","Green,Yellow,Gray",kolas,reuse,39,재사용/진단 후보,SYNTHETIC_DEMO_COMPANY,MVP 시연용 업체,synthetic,"LFP 배터리 재사용 실증, ESS 재구성, 팩 안전성 확인",시연용,,SYNTHETIC_DEMO,synthetic_region_center,False,True,SYNTHETIC_DEMO_COMPANY_FOR_MATCHING_COVERAGE,,,,0,0.0,synthetic_diagnosis_or_reuse_candidate,synthetic_demo,,"한국환경공단 API 기반 전기차 관련 업체는 이미 검증 목록에 포함되어 있어, 지역·등급 커버리지 확보를 위해 생성한 MVP 시연용 보강 업체 | KOLAS 통계자료는 기관명 단위 검증 불가. MVP 시연용 KOLAS 역량 라벨 부여.",synthetic_demo,,True,False,synthetic_demo_not_real_kolas,산업통상부_기술표준통계_한국인정기구(KOLAS) 인정현황_20251231.csv,2025,862,76,,,synthetic_demo_assigned_for_mvp,synthetic_demo_matching_requirement,False,False,,,,synthetic_demo_not_real_kolas,,False,False,synthetic_demo_precision_diagnosis,latest_user_kolas_review_2026_07,Synthetic demo center: matching-compatible high diagnostic capability; not a real KOLAS certification.,,
CMV5_007,배터리리유즈진단센터_경기,경기도 화성시 배터리 순환산업단지 1로 10,경기,37.414312,127.478821,True,"NCM,LFP","Green,Yellow,Gray",kolas,reuse,20,재사용/진단 후보,SYNTHETIC_DEMO_COMPANY,MVP 시연용 업체,synthetic,"사용후 배터리 정밀진단, 모듈 등급분류, 재사용 가능성 평가",시연용,,SYNTHETIC_DEMO,synthetic_region_center,False,True,SYNTHETIC_DEMO_COMPANY_FOR_MATCHING_COVERAGE,,,,0,0.0,synthetic_diagnosis_or_reuse_candidate,synthetic_demo,,"한국환경공단 API 기반 전기차 관련 업체는 이미 검증 목록에 포함되어 있어, 지역·등급 커버리지 확보를 위해 생성한 MVP 시연용 보강 업체 | KOLAS 통계자료는 기관명 단위 검증 불가. MVP 시연용 KOLAS 역량 라벨 부여.",synthetic_demo,,True,False,synthetic_demo_not_real_kolas,산업통상부_기술표준통계_한국인정기구(KOLAS) 인정현황_20251231.csv,2025,862,76,,,synthetic_demo_assigned_for_mvp,synthetic_demo_matching_requirement,False,False,,,,synthetic_demo_not_real_kolas,,False,False,synthetic_demo_precision_diagnosis,latest_user_kolas_review_2026_07,Synthetic demo center: matching-compatible high diagnostic capability; not a real KOLAS certification.,,
CMV5_008,배터리팩재제조센터_전남,전라남도 광양시 자원순환로 33,전남,34.856281,126.935717,True,"NCM,LFP","Green,Yellow,Gray",kolas,reuse,42,재사용/진단 후보,SYNTHETIC_DEMO_COMPANY,MVP 시연용 업체,synthetic,"배터리팩 재제조, 모듈 교체, 재사용 배터리 품질관리",시연용,,SYNTHETIC_DEMO,synthetic_region_center,False,True,SYNTHETIC_DEMO_COMPANY_FOR_MATCHING_COVERAGE,,,,0,0.0,synthetic_diagnosis_or_reuse_candidate,synthetic_demo,,"한국환경공단 API 기반 전기차 관련 업체는 이미 검증 목록에 포함되어 있어, 지역·등급 커버리지 확보를 위해 생성한 MVP 시연용 보강 업체 | KOLAS 통계자료는 기관명 단위 검증 불가. MVP 시연용 KOLAS 역량 라벨 부여.",synthetic_demo,,True,False,synthetic_demo_not_real_kolas,산업통상부_기술표준통계_한국인정기구(KOLAS) 인정현황_20251231.csv,2025,862,76,,,synthetic_demo_assigned_for_mvp,synthetic_demo_matching_requirement,False,False,,,,synthetic_demo_not_real_kolas,,False,False,synthetic_demo_precision_diagnosis,latest_user_kolas_review_2026_07,Synthetic demo center: matching-compatible high diagnostic capability; not a real KOLAS certification.,,
CMV5_009,전기차배터리검사센터_부산,부산광역시 강서구 에너지순환로 8,부산,35.154358,129.092609,True,"NCM,LFP","Green,Yellow,Gray",kolas,reuse,27,재사용/진단 후보,SYNTHETIC_DEMO_COMPANY,MVP 시연용 업체,synthetic,"전기차 사용후 배터리 검사, SOH 진단, 재사용 후보 선별",시연용,,SYNTHETIC_DEMO,synthetic_region_center,False,True,SYNTHETIC_DEMO_COMPANY_FOR_MATCHING_COVERAGE,,,,0,0.0,synthetic_diagnosis_or_reuse_candidate,synthetic_demo,,"한국환경공단 API 기반 전기차 관련 업체는 이미 검증 목록에 포함되어 있어, 지역·등급 커버리지 확보를 위해 생성한 MVP 시연용 보강 업체 | KOLAS 통계자료는 기관명 단위 검증 불가. MVP 시연용 KOLAS 역량 라벨 부여.",synthetic_demo,,True,False,synthetic_demo_not_real_kolas,산업통상부_기술표준통계_한국인정기구(KOLAS) 인정현황_20251231.csv,2025,862,76,,,synthetic_demo_assigned_for_mvp,synthetic_demo_matching_requirement,False,False,,,,synthetic_demo_not_real_kolas,,False,False,synthetic_demo_precision_diagnosis,latest_user_kolas_review_2026_07,Synthetic demo center: matching-compatible high diagnostic capability; not a real KOLAS certification.,,
CMV5_010,폐배터리안전진단센터_인천,인천광역시 남동구 미래배터리로 12,인천,37.482842,126.754294,True,"NCM,LFP","Green,Yellow,Gray",kolas,reuse,49,재사용/진단 후보,SYNTHETIC_DEMO_COMPANY,MVP 시연용 업체,synthetic,"폐배터리 안전진단, 화학계 확인, 재사용 가능성 평가",시연용,,SYNTHETIC_DEMO,synthetic_region_center,False,True,SYNTHETIC_DEMO_COMPANY_FOR_MATCHING_COVERAGE,,,,0,0.0,synthetic_diagnosis_or_reuse_candidate,synthetic_demo,,"한국환경공단 API 기반 전기차 관련 업체는 이미 검증 목록에 포함되어 있어, 지역·등급 커버리지 확보를 위해 생성한 MVP 시연용 보강 업체 | KOLAS 통계자료는 기관명 단위 검증 불가. MVP 시연용 KOLAS 역량 라벨 부여.",synthetic_demo,,True,False,synthetic_demo_not_real_kolas,산업통상부_기술표준통계_한국인정기구(KOLAS) 인정현황_20251231.csv,2025,862,76,,,synthetic_demo_assigned_for_mvp,synthetic_demo_matching_requirement,False,False,,,,synthetic_demo_not_real_kolas,,False,False,synthetic_demo_precision_diagnosis,latest_user_kolas_review_2026_07,Synthetic demo center: matching-compatible high diagnostic capability; not a real KOLAS certification.,,
